Year,EndDate,day.of.year,Station,Net,Species,totcount,LG,Morts
2001,7/4/2001,185,230,230S,BDWF,1,1,NA
2001,7/4/2001,185,230,230S,BDWF,16,2,NA
2001,7/4/2001,185,230,230S,BDWF,55,3,NA
2001,7/4/2001,185,230,230S,DLVN,10,1,NA
2001,7/4/2001,185,230,230S,DLVN,2,2,NA
2001,7/4/2001,185,230,230S,FHSC,33,NA,NA
2001,7/4/2001,185,230,230S,RBSM,52,NA,NA
2001,7/4/2001,185,230,230S,RDWF,2,NA,NA
2001,7/4/2001,185,230,230S,SFCD,1,NA,NA
2001,7/4/2001,185,231,231N,ARCS,8,1,NA
2001,7/4/2001,185,231,231N,ARCS,2,2,NA
2001,7/4/2001,185,231,231N,ARFL,34,NA,NA
2001,7/4/2001,185,231,231N,BDWF,10,1,NA
2001,7/4/2001,185,231,231N,BDWF,13,2,NA
2001,7/4/2001,185,231,231N,DLVN,8,1,NA
2001,7/4/2001,185,231,231N,FHSC,15,NA,NA
2001,7/4/2001,185,231,231N,RBSM,5,NA,NA
2001,7/4/2001,185,231,231S,ARCS,10,1,NA
2001,7/4/2001,185,231,231S,ARCS,5,2,NA
2001,7/4/2001,185,231,231S,ARFL,64,NA,NA
2001,7/4/2001,185,231,231S,BDWF,9,1,NA
2001,7/4/2001,185,231,231S,BDWF,8,2,NA
2001,7/4/2001,185,231,231S,BDWF,8,3,NA
2001,7/4/2001,185,231,231S,DLVN,11,1,NA
2001,7/4/2001,185,231,231S,FHSC,17,NA,NA
2001,7/4/2001,185,231,231S,RBSM,6,NA,NA
2001,7/4/2001,185,231,231S,RDWF,2,NA,NA
2001,7/5/2001,186,230,230N,ARCS,13,1,NA
2001,7/5/2001,186,230,230N,ARCS,23,2,NA
2001,7/5/2001,186,230,230N,ARCS,5,3,NA
2001,7/5/2001,186,230,230N,ARFL,51,NA,NA
2001,7/5/2001,186,230,230N,BDWF,7,1,NA
2001,7/5/2001,186,230,230N,BDWF,41,2,NA
2001,7/5/2001,186,230,230N,BDWF,12,3,NA
2001,7/5/2001,186,230,230N,DLVN,24,1,NA
2001,7/5/2001,186,230,230N,DLVN,3,2,NA
2001,7/5/2001,186,230,230N,FHSC,22,NA,NA
2001,7/5/2001,186,230,230N,GRAY,1,NA,NA
2001,7/5/2001,186,230,230N,LSCS,1,1,NA
2001,7/5/2001,186,230,230N,LSCS,6,2,NA
2001,7/5/2001,186,230,230N,RBSM,40,NA,NA
2001,7/5/2001,186,230,230N,RDWF,1,NA,NA
2001,7/5/2001,186,230,230N,SFCD,8,NA,NA
2001,7/5/2001,186,230,230S,ARCS,18,1,NA
2001,7/5/2001,186,230,230S,ARCS,69,2,NA
2001,7/5/2001,186,230,230S,ARCS,19,3,NA
2001,7/5/2001,186,230,230S,ARFL,13,NA,NA
2001,7/5/2001,186,230,230S,BDWF,17,1,NA
2001,7/5/2001,186,230,230S,BDWF,123,2,NA
2001,7/5/2001,186,230,230S,BDWF,26,3,NA
2001,7/5/2001,186,230,230S,DLVN,8,1,NA
2001,7/5/2001,186,230,230S,DLVN,12,2,NA
2001,7/5/2001,186,230,230S,FHSC,23,NA,NA
2001,7/5/2001,186,230,230S,HBWF,3,NA,NA
2001,7/5/2001,186,230,230S,LSCS,1,1,NA
2001,7/5/2001,186,230,230S,LSCS,8,2,NA
2001,7/5/2001,186,230,230S,RBSM,44,NA,NA
2001,7/5/2001,186,230,230S,RDWF,1,NA,NA
2001,7/5/2001,186,230,230S,SFCD,1,NA,NA
2001,7/5/2001,186,231,231N,ARCS,39,1,NA
2001,7/5/2001,186,231,231N,ARCS,86,2,NA
2001,7/5/2001,186,231,231N,ARCS,1,3,NA
2001,7/5/2001,186,231,231N,ARFL,22,NA,NA
2001,7/5/2001,186,231,231N,BDWF,25,1,NA
2001,7/5/2001,186,231,231N,BDWF,85,2,NA
2001,7/5/2001,186,231,231N,BDWF,5,3,NA
2001,7/5/2001,186,231,231N,DLVN,41,1,NA
2001,7/5/2001,186,231,231N,DLVN,2,2,NA
2001,7/5/2001,186,231,231N,FHSC,19,NA,NA
2001,7/5/2001,186,231,231N,LSCS,3,1,NA
2001,7/5/2001,186,231,231N,LSCS,1,2,NA
2001,7/5/2001,186,231,231N,RBSM,12,NA,NA
2001,7/5/2001,186,231,231S,ARCS,34,1,NA
2001,7/5/2001,186,231,231S,ARCS,49,2,NA
2001,7/5/2001,186,231,231S,ARCS,3,3,NA
2001,7/5/2001,186,231,231S,ARFL,55,NA,NA
2001,7/5/2001,186,231,231S,BDWF,12,1,NA
2001,7/5/2001,186,231,231S,BDWF,43,2,NA
2001,7/5/2001,186,231,231S,BDWF,8,3,NA
2001,7/5/2001,186,231,231S,DLVN,60,1,NA
2001,7/5/2001,186,231,231S,DLVN,1,2,NA
2001,7/5/2001,186,231,231S,FHSC,7,NA,NA
2001,7/5/2001,186,231,231S,RBSM,33,NA,NA
2001,7/5/2001,186,231,231S,RDWF,1,NA,NA
2001,7/6/2001,187,230,230N,ARCS,287,1,NA
2001,7/6/2001,187,230,230N,ARCS,69,2,NA
2001,7/6/2001,187,230,230N,ARCS,3,3,NA
2001,7/6/2001,187,230,230N,ARFL,18,NA,NA
2001,7/6/2001,187,230,230N,BDWF,45,1,NA
2001,7/6/2001,187,230,230N,BDWF,168,2,NA
2001,7/6/2001,187,230,230N,BDWF,5,3,NA
2001,7/6/2001,187,230,230N,DLVN,7,1,NA
2001,7/6/2001,187,230,230N,FHSC,20,NA,NA
2001,7/6/2001,187,230,230N,LSCS,2,1,NA
2001,7/6/2001,187,230,230N,RBSM,68,NA,NA
2001,7/6/2001,187,230,230N,RDWF,1,NA,NA
2001,7/6/2001,187,230,230N,SFCD,6,NA,NA
2001,7/6/2001,187,230,230S,ARCS,474,1,NA
2001,7/6/2001,187,230,230S,ARCS,86,2,NA
2001,7/6/2001,187,230,230S,ARCS,15,3,NA
2001,7/6/2001,187,230,230S,ARFL,13,NA,NA
2001,7/6/2001,187,230,230S,BDWF,165,1,NA
2001,7/6/2001,187,230,230S,BDWF,134,2,NA
2001,7/6/2001,187,230,230S,BDWF,23,3,NA
2001,7/6/2001,187,230,230S,DLVN,2,1,NA
2001,7/6/2001,187,230,230S,DLVN,3,2,NA
2001,7/6/2001,187,230,230S,FHSC,16,NA,NA
2001,7/6/2001,187,230,230S,HBWF,1,NA,NA
2001,7/6/2001,187,230,230S,LSCS,4,1,NA
2001,7/6/2001,187,230,230S,LSCS,2,2,NA
2001,7/6/2001,187,230,230S,RBSM,88,NA,NA
2001,7/6/2001,187,230,230S,RDWF,4,NA,NA
2001,7/6/2001,187,230,230S,SFCD,2,NA,NA
2001,7/6/2001,187,231,231N,ARCS,40,1,NA
2001,7/6/2001,187,231,231N,ARCS,11,2,NA
2001,7/6/2001,187,231,231N,ARFL,8,NA,NA
2001,7/6/2001,187,231,231N,BDWF,5,1,NA
2001,7/6/2001,187,231,231N,BDWF,1,2,NA
2001,7/6/2001,187,231,231N,DLVN,11,1,NA
2001,7/6/2001,187,231,231N,FHSC,4,NA,NA
2001,7/6/2001,187,231,231N,RBSM,2,NA,NA
2001,7/6/2001,187,231,231N,RDWF,4,NA,NA
2001,7/6/2001,187,231,231S,ARCS,6,1,NA
2001,7/6/2001,187,231,231S,ARCS,17,2,NA
2001,7/6/2001,187,231,231S,ARFL,14,NA,NA
2001,7/6/2001,187,231,231S,BDWF,2,1,NA
2001,7/6/2001,187,231,231S,BDWF,9,2,NA
2001,7/6/2001,187,231,231S,BDWF,1,3,NA
2001,7/6/2001,187,231,231S,DLVN,10,1,NA
2001,7/6/2001,187,231,231S,FHSC,4,NA,NA
2001,7/6/2001,187,231,231S,LSCS,2,1,NA
2001,7/6/2001,187,231,231S,RBSM,3,NA,NA
2001,7/6/2001,187,231,231S,RDWF,3,NA,NA
2001,7/6/2001,187,231,231S,SFCD,1,NA,NA
2001,7/7/2001,188,230,230N,ARCS,98,1,NA
2001,7/7/2001,188,230,230N,ARCS,37,2,NA
2001,7/7/2001,188,230,230N,ARFL,36,NA,NA
2001,7/7/2001,188,230,230N,BDWF,45,1,NA
2001,7/7/2001,188,230,230N,BDWF,12,2,NA
2001,7/7/2001,188,230,230N,DLVN,1,1,NA
2001,7/7/2001,188,230,230N,FHSC,36,NA,NA
2001,7/7/2001,188,230,230N,HBWF,1,NA,NA
2001,7/7/2001,188,230,230N,LSCS,4,1,NA
2001,7/7/2001,188,230,230N,RBSM,84,NA,NA
2001,7/7/2001,188,230,230N,RDWF,2,NA,NA
2001,7/7/2001,188,230,230N,SFCD,9,NA,NA
2001,7/7/2001,188,231,231N,ARCS,366,1,NA
2001,7/7/2001,188,231,231N,ARCS,144,2,NA
2001,7/7/2001,188,231,231N,ARCS,4,3,NA
2001,7/7/2001,188,231,231N,ARFL,30,NA,NA
2001,7/7/2001,188,231,231N,BDWF,71,1,NA
2001,7/7/2001,188,231,231N,BDWF,44,2,NA
2001,7/7/2001,188,231,231N,BDWF,2,3,NA
2001,7/7/2001,188,231,231N,DLVN,23,1,NA
2001,7/7/2001,188,231,231N,DLVN,1,2,NA
2001,7/7/2001,188,231,231N,FHSC,26,NA,NA
2001,7/7/2001,188,231,231N,HBWF,2,NA,NA
2001,7/7/2001,188,231,231N,LSCS,6,1,NA
2001,7/7/2001,188,231,231N,LSCS,7,2,NA
2001,7/7/2001,188,231,231N,RBSM,95,NA,NA
2001,7/7/2001,188,231,231N,RDWF,2,NA,NA
2001,7/7/2001,188,231,231N,SFCD,7,NA,NA
2001,7/7/2001,188,231,231S,ARCS,85,1,NA
2001,7/7/2001,188,231,231S,ARCS,63,2,NA
2001,7/7/2001,188,231,231S,ARFL,83,NA,NA
2001,7/7/2001,188,231,231S,BDWF,14,1,NA
2001,7/7/2001,188,231,231S,BDWF,21,2,NA
2001,7/7/2001,188,231,231S,DLVN,19,1,NA
2001,7/7/2001,188,231,231S,LSCS,6,1,NA
2001,7/7/2001,188,231,231S,RBSM,144,NA,NA
2001,7/8/2001,189,230,230N,ARCS,33,1,NA
2001,7/8/2001,189,230,230N,ARCS,49,2,NA
2001,7/8/2001,189,230,230N,ARCS,20,3,NA
2001,7/8/2001,189,230,230N,ARFL,6,NA,NA
2001,7/8/2001,189,230,230N,BDWF,16,1,NA
2001,7/8/2001,189,230,230N,BDWF,25,2,NA
2001,7/8/2001,189,230,230N,BDWF,3,3,NA
2001,7/8/2001,189,230,230N,DLVN,1,1,NA
2001,7/8/2001,189,230,230N,FHSC,21,NA,NA
2001,7/8/2001,189,230,230N,HBWF,4,NA,NA
2001,7/8/2001,189,230,230N,LSCS,2,1,NA
2001,7/8/2001,189,230,230N,LSCS,28,2,NA
2001,7/8/2001,189,230,230N,RBSM,63,NA,NA
2001,7/8/2001,189,230,230S,ARCS,31,1,NA
2001,7/8/2001,189,230,230S,ARCS,27,2,NA
2001,7/8/2001,189,230,230S,ARCS,3,3,NA
2001,7/8/2001,189,230,230S,ARFL,26,NA,NA
2001,7/8/2001,189,230,230S,BDWF,17,1,NA
2001,7/8/2001,189,230,230S,BDWF,14,2,NA
2001,7/8/2001,189,230,230S,DLVN,5,1,NA
2001,7/8/2001,189,230,230S,FHSC,30,NA,NA
2001,7/8/2001,189,230,230S,LSCS,2,2,NA
2001,7/8/2001,189,230,230S,RBSM,96,NA,NA
2001,7/8/2001,189,230,230S,SFCD,3,NA,NA
2001,7/8/2001,189,231,231N,ARCS,47,1,NA
2001,7/8/2001,189,231,231N,ARCS,8,2,NA
2001,7/8/2001,189,231,231N,ARFL,15,NA,NA
2001,7/8/2001,189,231,231N,BDWF,16,1,NA
2001,7/8/2001,189,231,231N,BDWF,6,2,NA
2001,7/8/2001,189,231,231N,DLVN,6,1,NA
2001,7/8/2001,189,231,231N,FHSC,4,NA,NA
2001,7/8/2001,189,231,231N,RBSM,4,NA,NA
2001,7/8/2001,189,231,231N,RDWF,3,NA,NA
2001,7/8/2001,189,231,231S,ARCS,22,1,NA
2001,7/8/2001,189,231,231S,ARCS,4,2,NA
2001,7/8/2001,189,231,231S,ARCS,1,3,NA
2001,7/8/2001,189,231,231S,ARFL,62,NA,NA
2001,7/8/2001,189,231,231S,BDWF,3,1,NA
2001,7/8/2001,189,231,231S,BDWF,4,2,NA
2001,7/8/2001,189,231,231S,DLVN,4,1,NA
2001,7/8/2001,189,231,231S,FHSC,2,NA,NA
2001,7/8/2001,189,231,231S,RBSM,9,NA,NA
2001,7/8/2001,189,231,231S,RDWF,3,NA,NA
2001,7/9/2001,190,230,230N,ARCS,11,1,NA
2001,7/9/2001,190,230,230N,ARCS,40,2,NA
2001,7/9/2001,190,230,230N,ARCS,9,3,NA
2001,7/9/2001,190,230,230N,ARFL,8,NA,NA
2001,7/9/2001,190,230,230N,BDWF,6,1,NA
2001,7/9/2001,190,230,230N,BDWF,34,2,NA
2001,7/9/2001,190,230,230N,DLVN,1,2,NA
2001,7/9/2001,190,230,230N,FHSC,22,NA,NA
2001,7/9/2001,190,230,230N,HBWF,2,NA,NA
2001,7/9/2001,190,230,230N,LSCS,1,1,NA
2001,7/9/2001,190,230,230N,LSCS,14,2,NA
2001,7/9/2001,190,230,230N,RBSM,87,NA,NA
2001,7/9/2001,190,230,230S,ARCS,3,1,NA
2001,7/9/2001,190,230,230S,ARCS,11,2,NA
2001,7/9/2001,190,230,230S,ARFL,15,NA,NA
2001,7/9/2001,190,230,230S,BDWF,12,2,NA
2001,7/9/2001,190,230,230S,DLVN,1,2,NA
2001,7/9/2001,190,230,230S,FHSC,20,NA,NA
2001,7/9/2001,190,230,230S,LSCS,5,2,NA
2001,7/9/2001,190,230,230S,RBSM,49,NA,NA
2001,7/9/2001,190,231,231N,ARCS,35,1,NA
2001,7/9/2001,190,231,231N,ARCS,4,2,NA
2001,7/9/2001,190,231,231N,ARFL,9,NA,NA
2001,7/9/2001,190,231,231N,BDWF,22,1,NA
2001,7/9/2001,190,231,231N,BDWF,2,2,NA
2001,7/9/2001,190,231,231N,DLVN,1,1,NA
2001,7/9/2001,190,231,231N,FHSC,8,NA,NA
2001,7/9/2001,190,231,231N,LSCS,1,1,NA
2001,7/9/2001,190,231,231N,RBSM,9,NA,NA
2001,7/9/2001,190,231,231S,ARCS,61,1,NA
2001,7/9/2001,190,231,231S,ARCS,11,2,NA
2001,7/9/2001,190,231,231S,ARFL,25,NA,NA
2001,7/9/2001,190,231,231S,BDWF,7,1,NA
2001,7/9/2001,190,231,231S,FHSC,6,NA,NA
2001,7/9/2001,190,231,231S,LSCS,1,1,NA
2001,7/9/2001,190,231,231S,LSCS,1,2,NA
2001,7/9/2001,190,231,231S,RBSM,26,NA,NA
2001,7/10/2001,191,230,230N,ARCS,22,1,NA
2001,7/10/2001,191,230,230N,ARCS,19,2,NA
2001,7/10/2001,191,230,230N,ARCS,2,3,NA
2001,7/10/2001,191,230,230N,ARFL,15,NA,NA
2001,7/10/2001,191,230,230N,BDWF,2,1,NA
2001,7/10/2001,191,230,230N,BDWF,12,2,NA
2001,7/10/2001,191,230,230N,DLVN,1,2,NA
2001,7/10/2001,191,230,230N,FHSC,11,NA,NA
2001,7/10/2001,191,230,230N,HBWF,2,NA,NA
2001,7/10/2001,191,230,230N,LSCS,1,1,NA
2001,7/10/2001,191,230,230N,LSCS,3,2,NA
2001,7/10/2001,191,230,230N,RBSM,71,NA,NA
2001,7/10/2001,191,230,230S,ARCS,1,1,NA
2001,7/10/2001,191,230,230S,ARCS,10,2,NA
2001,7/10/2001,191,230,230S,ARFL,16,NA,NA
2001,7/10/2001,191,230,230S,BDWF,1,1,NA
2001,7/10/2001,191,230,230S,BDWF,1,2,NA
2001,7/10/2001,191,230,230S,DLVN,1,1,NA
2001,7/10/2001,191,230,230S,FHSC,15,NA,NA
2001,7/10/2001,191,230,230S,LSCS,1,1,NA
2001,7/10/2001,191,230,230S,LSCS,1,2,NA
2001,7/10/2001,191,230,230S,RBSM,37,NA,NA
2001,7/10/2001,191,230,230S,RDWF,1,NA,NA
2001,7/11/2001,192,230,230N,ARCD,1,NA,NA
2001,7/11/2001,192,230,230N,ARCS,3,1,NA
2001,7/11/2001,192,230,230N,ARCS,6,2,NA
2001,7/11/2001,192,230,230N,ARFL,15,NA,NA
2001,7/11/2001,192,230,230N,BDWF,1,1,NA
2001,7/11/2001,192,230,230N,BDWF,2,2,NA
2001,7/11/2001,192,230,230N,FHSC,14,NA,NA
2001,7/11/2001,192,230,230N,HBWF,2,NA,NA
2001,7/11/2001,192,230,230N,RBSM,119,NA,NA
2001,7/11/2001,192,230,230N,RDWF,1,NA,NA
2001,7/11/2001,192,230,230S,ARCS,16,1,NA
2001,7/11/2001,192,230,230S,ARCS,5,3,NA
2001,7/11/2001,192,230,230S,ARFL,13,NA,NA
2001,7/11/2001,192,230,230S,BDWF,3,1,NA
2001,7/11/2001,192,230,230S,BDWF,13,2,NA
2001,7/11/2001,192,230,230S,FHSC,10,NA,NA
2001,7/11/2001,192,230,230S,LSCS,1,2,NA
2001,7/11/2001,192,230,230S,RBSM,24,NA,NA
2001,7/11/2001,192,230,230S,RDWF,1,NA,NA
2001,7/12/2001,193,230,230N,ARCS,5,1,NA
2001,7/12/2001,193,230,230N,ARCS,1,2,NA
2001,7/12/2001,193,230,230N,ARFL,2,NA,NA
2001,7/12/2001,193,230,230N,BDWF,2,2,NA
2001,7/12/2001,193,230,230N,DLVN,1,1,NA
2001,7/12/2001,193,230,230N,FHSC,6,NA,NA
2001,7/12/2001,193,230,230N,RBSM,12,NA,NA
2001,7/12/2001,193,230,230S,ARCS,2,1,NA
2001,7/12/2001,193,230,230S,ARCS,4,2,NA
2001,7/12/2001,193,230,230S,ARCS,3,3,NA
2001,7/12/2001,193,230,230S,ARFL,6,NA,NA
2001,7/12/2001,193,230,230S,DLVN,1,2,NA
2001,7/12/2001,193,230,230S,FHSC,13,NA,NA
2001,7/12/2001,193,230,230S,HBWF,4,NA,NA
2001,7/12/2001,193,230,230S,LSCS,16,2,NA
2001,7/12/2001,193,230,230S,RBSM,32,NA,NA
2001,7/13/2001,194,230,230N,ARCS,2,1,NA
2001,7/13/2001,194,230,230N,ARCS,7,2,NA
2001,7/13/2001,194,230,230N,ARCS,2,3,NA
2001,7/13/2001,194,230,230N,ARFL,8,NA,NA
2001,7/13/2001,194,230,230N,FHSC,12,NA,NA
2001,7/13/2001,194,230,230N,HBWF,3,NA,NA
2001,7/13/2001,194,230,230N,LSCS,12,2,NA
2001,7/13/2001,194,230,230N,RBSM,16,NA,NA
2001,7/13/2001,194,230,230S,ARCS,1,1,NA
2001,7/13/2001,194,230,230S,ARCS,5,2,NA
2001,7/13/2001,194,230,230S,ARFL,8,NA,NA
2001,7/13/2001,194,230,230S,BDWF,2,2,NA
2001,7/13/2001,194,230,230S,FHSC,12,NA,NA
2001,7/13/2001,194,230,230S,LSCS,1,2,NA
2001,7/13/2001,194,230,230S,RBSM,15,NA,NA
2001,7/13/2001,194,231,231N,ARCS,27,1,NA
2001,7/13/2001,194,231,231N,ARCS,1,2,NA
2001,7/13/2001,194,231,231N,ARFL,18,NA,NA
2001,7/13/2001,194,231,231N,BDWF,4,1,NA
2001,7/13/2001,194,231,231N,DLVN,2,1,NA
2001,7/13/2001,194,231,231N,DLVN,1,2,NA
2001,7/13/2001,194,231,231N,FHSC,6,NA,NA
2001,7/13/2001,194,231,231N,LSCS,1,2,NA
2001,7/13/2001,194,231,231N,RDWF,1,NA,NA
2001,7/13/2001,194,231,231S,ARCS,15,1,NA
2001,7/13/2001,194,231,231S,ARCS,8,2,NA
2001,7/13/2001,194,231,231S,ARCS,1,3,NA
2001,7/13/2001,194,231,231S,ARFL,33,NA,NA
2001,7/13/2001,194,231,231S,BDWF,5,1,NA
2001,7/13/2001,194,231,231S,BDWF,2,2,NA
2001,7/13/2001,194,231,231S,FHSC,12,NA,NA
2001,7/13/2001,194,231,231S,RBSM,9,NA,NA
